Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1649967247305	Apr 14, 2022 4:14:07 PM	983.7879	
1649968486520	Apr 14, 2022 4:34:46 PM	983.5937	
1649969502700	Apr 14, 2022 4:51:42 PM	983.64825	
1649971005225	Apr 14, 2022 5:16:45 PM	983.76917	
1649971915163	Apr 14, 2022 5:31:55 PM	983.88947	
1649973156540	Apr 14, 2022 5:52:36 PM	984.0792	
1649974126910	Apr 14, 2022 6:08:46 PM	983.86926	
1649975048245	Apr 14, 2022 6:24:08 PM	984.20245	
1649976433221	Apr 14, 2022 6:47:13 PM	984.14935	
1649977579235	Apr 14, 2022 7:06:19 PM	984.12366	
1649978610770	Apr 14, 2022 7:23:30 PM	984.1045	
1649979548086	Apr 14, 2022 7:39:08 PM	984.1215	
1649980608729	Apr 14, 2022 7:56:48 PM	983.96423	
1649982185203	Apr 14, 2022 8:23:05 PM	984.09515	
1649983433205	Apr 14, 2022 8:43:53 PM	984.53546	
1649984406810	Apr 14, 2022 9:00:06 PM	984.8251	
1649985798228	Apr 14, 2022 9:23:18 PM	985.11285	
1649987401325	Apr 14, 2022 9:50:01 PM	985.3444	
1649988980987	Apr 14, 2022 10:16:20 PM	985.57605	
1649989883349	Apr 14, 2022 10:31:23 PM	985.38885	
1649990871154	Apr 14, 2022 10:47:51 PM	985.4388	
1649991870356	Apr 14, 2022 11:04:30 PM	985.3874	
1649992958073	Apr 14, 2022 11:22:38 PM	985.1859	
1649993922069	Apr 14, 2022 11:38:42 PM	985.1694	
1649995308076	Apr 15, 2022 12:01:48 AM	985.3151	
1649996945788	Apr 15, 2022 12:29:05 AM	985.4924	
1649998531672	Apr 15, 2022 12:55:31 AM	985.5988	
1650000213092	Apr 15, 2022 1:23:33 AM	985.7552	
1650001788393	Apr 15, 2022 1:49:48 AM	985.7448	
1650003402860	Apr 15, 2022 2:16:42 AM	985.77924	
1650005068513	Apr 15, 2022 2:44:28 AM	985.7293	
1650006315012	Apr 15, 2022 3:05:15 AM	985.5941	
1650007950589	Apr 15, 2022 3:32:30 AM	985.6224	
1650009536452	Apr 15, 2022 3:58:56 AM	985.76373	
1650011125641	Apr 15, 2022 4:25:25 AM	985.84827	
1650012738110	Apr 15, 2022 4:52:18 AM	985.8247	
1650014372009	Apr 15, 2022 5:19:32 AM	985.64514	
1650015955602	Apr 15, 2022 5:45:55 AM	985.41754	
1650016995875	Apr 15, 2022 6:03:15 AM	985.3838	
1650018155712	Apr 15, 2022 6:22:35 AM	985.11646	
1650019261838	Apr 15, 2022 6:41:01 AM	984.65594	
1650020648825	Apr 15, 2022 7:04:08 AM	984.9303	
1650021585519	Apr 15, 2022 7:19:45 AM	984.9977	
1650022554526	Apr 15, 2022 7:35:54 AM	984.9475	
1650023655783	Apr 15, 2022 7:54:15 AM	985.4371	
1650024742038	Apr 15, 2022 8:12:22 AM	986.02423	
1650025647855	Apr 15, 2022 8:27:27 AM	986.0663	
1650026567830	Apr 15, 2022 8:42:47 AM	986.23376	
1650027640388	Apr 15, 2022 9:00:40 AM	986.54956	
1650028555809	Apr 15, 2022 9:15:55 AM	986.52826	
1650030139465	Apr 15, 2022 9:42:19 AM	986.5725	
1650031618459	Apr 15, 2022 10:06:58 AM	986.15173	
1650032812274	Apr 15, 2022 10:26:52 AM	986.02783	
1650033910971	Apr 15, 2022 10:45:10 AM	986.261	
1650034966421	Apr 15, 2022 11:02:46 AM	985.9133	
1650036359268	Apr 15, 2022 11:25:59 AM	985.7731	
1650037939461	Apr 15, 2022 11:52:19 AM	985.92096	
1650038893693	Apr 15, 2022 12:08:13 PM	985.5994	
1650040474696	Apr 15, 2022 12:34:34 PM	985.0072	
1650041380403	Apr 15, 2022 12:49:40 PM	984.54865	
1650042525896	Apr 15, 2022 1:08:45 PM	984.20776	
1650043477530	Apr 15, 2022 1:24:37 PM	983.5911	
1650044642667	Apr 15, 2022 1:44:02 PM	983.60046	
1650045610646	Apr 15, 2022 2:00:10 PM	983.348	
1650045981230	Apr 15, 2022 2:06:21 PM	983.25195	
1650047008988	Apr 15, 2022 2:23:28 PM	983.6572	
1650047925857	Apr 15, 2022 2:38:45 PM	979.82794	
1650048853494	Apr 15, 2022 2:54:13 PM	979.81305	
1650049827442	Apr 15, 2022 3:10:27 PM	979.842	
1650050774589	Apr 15, 2022 3:26:14 PM	980.0171	
1650051882858	Apr 15, 2022 3:44:42 PM	979.9884	
1650052910734	Apr 15, 2022 4:01:50 PM	979.60205	
1650053085981	Apr 15, 2022 4:04:45 PM	979.51874	
1650054026293	Apr 15, 2022 4:20:26 PM	979.1135	
1650055114878	Apr 15, 2022 4:38:34 PM	978.7657	
1650056157536	Apr 15, 2022 4:55:57 PM	978.5534	
1650057733513	Apr 15, 2022 5:22:13 PM	978.14307	
1650058645830	Apr 15, 2022 5:37:25 PM	978.08606	
1650059621157	Apr 15, 2022 5:53:41 PM	977.90656	
1650060574994	Apr 15, 2022 6:09:34 PM	981.359	
1650061712313	Apr 15, 2022 6:28:32 PM	981.4772	
1650062644740	Apr 15, 2022 6:44:04 PM	981.3065	
1650064220368	Apr 15, 2022 7:10:20 PM	981.3478	
1650065239710	Apr 15, 2022 7:27:19 PM	981.0641	
1650066265432	Apr 15, 2022 7:44:25 PM	981.6327	
1650067840900	Apr 15, 2022 8:10:40 PM	981.8261	
1650068868858	Apr 15, 2022 8:27:48 PM	982.0605	
1650069956258	Apr 15, 2022 8:45:56 PM	982.3947	
1650071113416	Apr 15, 2022 9:05:13 PM	982.80316	
1650072688689	Apr 15, 2022 9:31:28 PM	984.08496	
1650073749338	Apr 15, 2022 9:49:09 PM	983.0231	
1650074787376	Apr 15, 2022 10:06:27 PM	982.89813	
1650076362644	Apr 15, 2022 10:32:42 PM	981.3917	
1650077658006	Apr 15, 2022 10:54:18 PM	981.08	
1650079260445	Apr 15, 2022 11:21:00 PM	980.08997	
1650080177138	Apr 15, 2022 11:36:17 PM	980.5868	
1650081252261	Apr 15, 2022 11:54:12 PM	981.0613	
1650082398280	Apr 16, 2022 12:13:18 AM	982.369	
