Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1646821840071	Mar 9, 2022 5:30:40 AM	976.80365	
1646823435437	Mar 9, 2022 5:57:15 AM	976.98425	
1646824337570	Mar 9, 2022 6:12:17 AM	977.30963	
1646825346738	Mar 9, 2022 6:29:06 AM	977.6823	
1646826300937	Mar 9, 2022 6:45:00 AM	977.7544	
1646827895115	Mar 9, 2022 7:11:35 AM	978.09546	
1646828672495	Mar 9, 2022 7:24:32 AM	978.4193	
1646829842022	Mar 9, 2022 7:44:02 AM	979.14984	
1646830745976	Mar 9, 2022 7:59:05 AM	979.6422	
1646831775490	Mar 9, 2022 8:16:15 AM	979.73425	
1646833350841	Mar 9, 2022 8:42:30 AM	980.1195	
1646834760821	Mar 9, 2022 9:06:00 AM	980.532	
1646835957855	Mar 9, 2022 9:25:57 AM	980.825	
1646836919881	Mar 9, 2022 9:41:59 AM	981.00586	
1646838495231	Mar 9, 2022 10:08:15 AM	981.2678	
1646839737689	Mar 9, 2022 10:28:57 AM	981.4115	
1646841330421	Mar 9, 2022 10:55:30 AM	981.38324	
1646842932631	Mar 9, 2022 11:22:12 AM	981.30334	
1646843973991	Mar 9, 2022 11:39:33 AM	981.3074	
1646845095524	Mar 9, 2022 11:58:15 AM	981.5928	
1646846118871	Mar 9, 2022 12:15:18 PM	981.4961	
1646847180756	Mar 9, 2022 12:33:00 PM	981.3654	
1646848102694	Mar 9, 2022 12:48:22 PM	981.53815	
1646849085782	Mar 9, 2022 1:04:45 PM	979.86426	
1646850023791	Mar 9, 2022 1:20:23 PM	981.1378	
1646850978615	Mar 9, 2022 1:36:18 PM	981.05133	
1646852423935	Mar 9, 2022 2:00:23 PM	981.0184	
1646854003993	Mar 9, 2022 2:26:43 PM	980.7315	
1646855606548	Mar 9, 2022 2:53:26 PM	980.80096	
1646857182781	Mar 9, 2022 3:19:42 PM	981.0445	
1646858346733	Mar 9, 2022 3:39:06 PM	980.93445	
1646859385730	Mar 9, 2022 3:56:25 PM	980.8422	
1646860789405	Mar 9, 2022 4:19:49 PM	981.1291	
1646862399508	Mar 9, 2022 4:46:39 PM	981.2035	
1646863328043	Mar 9, 2022 5:02:08 PM	981.61127	
1646864449699	Mar 9, 2022 5:20:49 PM	981.92725	
1646864632795	Mar 9, 2022 5:23:52 PM	981.89685	
1646865592894	Mar 9, 2022 5:39:52 PM	982.4808	
1646866594437	Mar 9, 2022 5:56:34 PM	982.7424	
1646867754623	Mar 9, 2022 6:15:54 PM	982.88776	
1646868690992	Mar 9, 2022 6:31:30 PM	983.15674	
1646869928180	Mar 9, 2022 6:52:08 PM	983.4859	
1646871023186	Mar 9, 2022 7:10:23 PM	983.88586	
1646872168684	Mar 9, 2022 7:29:28 PM	983.8561	
1646873229578	Mar 9, 2022 7:47:09 PM	983.936	
1646874712269	Mar 9, 2022 8:11:52 PM	983.84143	
1646876288532	Mar 9, 2022 8:38:08 PM	983.43176	
1646877948249	Mar 9, 2022 9:05:48 PM	983.56287	
1646879550839	Mar 9, 2022 9:32:30 PM	983.70844	
1646880800094	Mar 9, 2022 9:53:20 PM	984.0176	
1646882421685	Mar 9, 2022 10:20:21 PM	984.07117	
1646884023095	Mar 9, 2022 10:47:03 PM	983.96704	
1646885062724	Mar 9, 2022 11:04:22 PM	983.4517	
1646886667910	Mar 9, 2022 11:31:07 PM	983.6251	
1646888244434	Mar 9, 2022 11:57:24 PM	983.9243	
1646889497430	Mar 10, 2022 12:18:17 AM	983.85034	
1646891073457	Mar 10, 2022 12:44:33 AM	983.74945	
1646892720134	Mar 10, 2022 1:12:00 AM	983.9458	
1646894422103	Mar 10, 2022 1:40:22 AM	983.8954	
1646895998333	Mar 10, 2022 2:06:38 AM	983.6642	
1646897598699	Mar 10, 2022 2:33:18 AM	983.47235	
1646899201050	Mar 10, 2022 3:00:01 AM	983.3132	
1646900867032	Mar 10, 2022 3:27:47 AM	983.46173	
1646902163546	Mar 10, 2022 3:49:23 AM	983.34076	
1646903749002	Mar 10, 2022 4:15:49 AM	983.6508	
1646905366391	Mar 10, 2022 4:42:46 AM	983.736	
1646906967813	Mar 10, 2022 5:09:27 AM	983.9681	
1646908548963	Mar 10, 2022 5:35:48 AM	984.24945	
1646910211499	Mar 10, 2022 6:03:31 AM	984.47955	
1646911325241	Mar 10, 2022 6:22:05 AM	984.56244	
1646912458820	Mar 10, 2022 6:40:58 AM	984.56055	
1646913379240	Mar 10, 2022 6:56:19 AM	984.50867	
1646914320090	Mar 10, 2022 7:12:00 AM	984.40985	
1646915025867	Mar 10, 2022 7:23:45 AM	984.52783	
1646915926322	Mar 10, 2022 7:38:46 AM	984.9949	
1646916902898	Mar 10, 2022 7:55:02 AM	984.8804	
1646918217202	Mar 10, 2022 8:16:57 AM	984.6948	
1646919808092	Mar 10, 2022 8:43:28 AM	984.8096	
1646920886386	Mar 10, 2022 9:01:26 AM	985.38165	
1646921970814	Mar 10, 2022 9:19:30 AM	985.1836	
1646923547121	Mar 10, 2022 9:45:47 AM	985.2182	
1646924454746	Mar 10, 2022 10:00:54 AM	985.072	
1646926131080	Mar 10, 2022 10:28:51 AM	984.94305	
1646927659422	Mar 10, 2022 10:54:19 AM	984.73737	
1646928579063	Mar 10, 2022 11:09:39 AM	985.037	
1646929488299	Mar 10, 2022 11:24:48 AM	985.1608	
1646930921054	Mar 10, 2022 11:48:41 AM	984.5703	
1646932062151	Mar 10, 2022 12:07:42 PM	984.59265	
1646933032869	Mar 10, 2022 12:23:52 PM	984.5554	
1646934608952	Mar 10, 2022 12:50:08 PM	984.15466	
1646936196703	Mar 10, 2022 1:16:36 PM	983.6385	
1646937948692	Mar 10, 2022 1:45:48 PM	983.436	
1646939535330	Mar 10, 2022 2:12:15 PM	982.902	
1646941216959	Mar 10, 2022 2:40:16 PM	982.334	
1646942793923	Mar 10, 2022 3:06:33 PM	982.43896	
1646944078961	Mar 10, 2022 3:27:58 PM	982.6782	
1646945716244	Mar 10, 2022 3:55:16 PM	982.65784	
1646947314284	Mar 10, 2022 4:21:54 PM	982.58856	
1646948693706	Mar 10, 2022 4:44:53 PM	982.91113	
1646949926368	Mar 10, 2022 5:05:26 PM	982.8397	
1646951470504	Mar 10, 2022 5:31:10 PM	982.6361	
1646952417800	Mar 10, 2022 5:46:57 PM	982.65784	
1646953369922	Mar 10, 2022 6:02:49 PM	982.6223	
1646954281195	Mar 10, 2022 6:18:01 PM	983.0775	
1646955304372	Mar 10, 2022 6:35:04 PM	983.11743	
1646956383665	Mar 10, 2022 6:53:03 PM	983.42346	
1646957368918	Mar 10, 2022 7:09:28 PM	983.335	
1646958325794	Mar 10, 2022 7:25:25 PM	983.3561	
1646959294198	Mar 10, 2022 7:41:34 PM	983.0975	
1646960488577	Mar 10, 2022 8:01:28 PM	983.1993	
1646962059510	Mar 10, 2022 8:27:39 PM	983.18695	
1646962224503	Mar 10, 2022 8:30:24 PM	983.1523	
1646963442765	Mar 10, 2022 8:50:42 PM	983.20056	
1646965036807	Mar 10, 2022 9:17:16 PM	983.19183	
1646966092697	Mar 10, 2022 9:34:52 PM	983.0469	
1646967653414	Mar 10, 2022 10:00:53 PM	983.34204	
1646968691432	Mar 10, 2022 10:18:11 PM	982.9772	
1646970294386	Mar 10, 2022 10:44:54 PM	983.19525	
1646971918370	Mar 10, 2022 11:11:58 PM	983.1128	
1646973114784	Mar 10, 2022 11:31:54 PM	983.00507	
1646974716502	Mar 10, 2022 11:58:36 PM	982.803	
1646976317908	Mar 11, 2022 12:25:17 AM	982.4946	
1646977893589	Mar 11, 2022 12:51:33 AM	982.2664	
1646979502619	Mar 11, 2022 1:18:22 AM	981.93726	
1646981182519	Mar 11, 2022 1:46:22 AM	981.80273	
1646982770616	Mar 11, 2022 2:12:50 AM	981.4185	
1646984347549	Mar 11, 2022 2:39:07 AM	981.0987	
1646985986785	Mar 11, 2022 3:06:26 AM	980.70135	
